author,published_at,updated_at,like_count,text
@LeilaGharani,2024-01-25T17:16:47Z,2024-01-25T17:16:47Z,0,"<a href=""UCJtUOos_MwJa_Ewii-R3cJA/INVYZKnjF56F6dsPo6CRkAo""></a> Stay ahead with our Weekly Newsletter. Get the latest insights and updates straight to your inbox 👉 <a href=""https://link.xelplus.com/yt-c-newsletter"">https://link.xelplus.com/yt-c-newsletter</a>"
@maricelascinas5644,2024-06-02T03:23:29Z,2024-06-02T03:23:29Z,0,"wow this is exactly we need for our project , thanks a lot for sharing Ms Leila ❤❤❤"
@Klarkooi,2024-04-14T12:05:55Z,2024-04-14T12:05:55Z,0,"Hey Leila, thanks for all the tips! I am wondering do you have a video to show a simple scenario, when we create a pivot table, we want to attach additional columns of info from our original data sheet as companion info without making those data as computational (as we don&#39;t need it) or it will just expand into so many columns that is not useful. Appreciate your kind advice as run into such common needs very often. Now i need to use V/Xlookup to map the data column manually to maintain my overall readability of my pivoted details. Thanks~!"
@adarshjha4774,2024-02-13T16:06:47Z,2024-02-13T16:06:47Z,0,All these options in insert are not coming in my Excel
@truth5119,2023-12-29T07:35:07Z,2023-12-29T07:35:21Z,0,"I materials had code if i want both displayed in same row and adjusent column, against each other"
@michaeljarcher,2023-11-24T12:17:39Z,2023-11-24T12:17:39Z,0,"About time excel got with the picture. But first thing I tried was a use in power query, sadly this seems not yet ready for prime time.  DataFormat.Error: Invalid cell value &#39;<a href=""http://www.youtube.com/results?search_query=%23value"">#VALUE</a>!&#39;. What a shame, gI uess need to wait to join all my data. (tears in the eyes). But appreciate the heads up on this feature it will be a game changer for dull lifless tables full of SKU&#39;s or partnumbers when the world is a visual beast."
@onewhitewolf13,2023-11-01T06:58:12Z,2023-11-01T06:58:12Z,1,Was this a phased release? My images are showing as text &#39;Picture&#39;. Anyone else have this issue? :(
@md.mahmudulalamsymon1216,2023-10-18T18:12:05Z,2023-10-18T18:12:05Z,0,Wow!!<br>Thanks a lot for sharing these nice tricks!
@iditenahui,2023-09-23T18:50:10Z,2023-09-23T18:50:10Z,0,This is super helpful and useful as well! Thank you!
@siryoneyal,2023-09-06T09:13:18Z,2023-09-06T09:13:18Z,0,"@LeilaGharani , I have kind of a challenge for you. I need to present on my pivot chart the filter that was picked. I do not want users to start looking through the filter to figure out that the output is currently showing the information for Q1 this year for example."
@kn4golf,2023-09-05T14:03:32Z,2023-09-05T14:03:32Z,0,"As always, great presentation 🙂 Works for me in the Table itself, but not in the Pivot afterwords 😞 ?"
@walterf6763,2023-09-04T21:57:03Z,2023-09-04T21:57:03Z,0,Thanks for the class.  Can the same be done with States of the United States?
@FutureCommentary1,2023-08-31T05:58:46Z,2023-08-31T05:58:45Z,1,When will it be available to general 365 users?
@m_stedt,2023-08-28T11:24:58Z,2023-08-28T11:24:57Z,0,Love that you can now insert pictures into cells but I&#39;d love it even more if it would be possible to dynamically get them from the web via a link referenced somewhere else in the file. This would open up so many possiblities for me.
@wr3661,2023-08-27T23:44:04Z,2023-08-27T23:44:03Z,0,"Awesome 👏. I have a question. Can I create a flow using power automate to check my emails for data requests sent to teams, extract, and list them in an excel sheet. The idea is to create a tracker sheet to track requests, dates requested and received. Is that possible or it’s a wild idea? Thanks in advance."
@SilverVillacacan,2023-08-25T10:33:41Z,2023-08-25T10:33:41Z,0,can you make videos how to run macros in protected sheets?
@RayMedina,2023-08-22T00:45:58Z,2023-08-22T00:45:57Z,0,"Hi Leila, love the show! Thank you for all the wonderful tips.. I&#39;m writing because I,&#39;ve noticed that lately my pivot tables won&#39;t give a row total but it will give me a column total. I&#39;ve try it from scratch, toggling the ON for rows and columns and nothing. I&#39;ve even opened a Microsoft support ticket and nobody can tell me why. Could you help?"
@gui.liraaa,2023-08-18T20:45:41Z,2023-08-18T20:45:41Z,0,"In my Excel, I can find the Data &gt; Data Types and find country-related information. The step I am stuck in is the part that goes on Insert &gt; Picture &gt; &quot;Place in Cell&quot;, the latter option simply doesn&#39;t exist in my Excel version. Does anyone know what can be the reason and how to activate it? Thanks in advance! :)"
@2000sunsunny,2023-08-14T10:38:16Z,2023-08-14T10:38:15Z,0,"Dear Leila, Thank you for vid. It is amazing. I am office 365 user but I dont have &quot;place in cell&quot; feature in insert /picture tab. I have all updates. What can you suggest me to fix it ? <br>Thanks in advance !"
@prajwalshetty2047,2023-08-13T14:43:40Z,2023-08-13T14:43:40Z,0,🇮🇳👍❤️
@drewsoffice,2023-07-27T20:45:29Z,2023-07-27T20:45:29Z,0,Great video!  Excellent!
@kashviyashvikimasti5389,2023-07-23T09:08:38Z,2023-07-23T09:08:38Z,0,"Limitation if I have multiple columns in value, columns representing could be area or years etc"
@dougc1753,2023-07-20T20:36:30Z,2023-07-20T20:36:30Z,0,"Your videos are great, but you go to fast to learn from."
@jesus.moreno,2023-07-20T03:39:33Z,2023-07-20T03:39:33Z,0,wouwwwwwwwww .... amazing!!
@TurnToData,2023-07-19T09:00:42Z,2023-07-19T09:00:42Z,1,This was brilliant! Kudos for putting in all the efforts. Thanks
@PoojaAdnani-wk6pp,2023-07-17T06:25:31Z,2023-07-17T06:25:31Z,0,👍
@sarmadpirzada8485,2023-07-15T04:49:19Z,2023-07-15T04:49:19Z,0,Wow Awesome thanks for updating us for new and updating formulas of Excel
@hamphrey.olendo65,2023-07-14T20:55:52Z,2023-07-14T20:55:52Z,0,"Hi, as you top student, surprise me with something, ie laptop"
@tanweerabbasabbas649,2023-07-12T18:07:17Z,2023-07-12T18:07:17Z,0,Leila  .hi . Im a grt fan of yours❤️<br>When using xlookup and data is is different sheets and we need to lock the entire cell when data is in table format . How to lock the ranges! Dollar sign doesnt work.<br>Plz make a video on this subject as there are none ...im sure it will b a grt hit for u👍🙂
@user-xi8oh4ne4u,2023-07-12T06:42:06Z,2023-07-12T06:42:06Z,0,Amazing as usual.
@fidahussain6430,2023-07-11T22:35:47Z,2023-07-11T22:35:47Z,0,"AOA<br>copy a data from filtered cells, where after filtering few cells are hide. when I paste it in another place. it will only paste first few cells which are in series till the hide cell. <br>for example if I had data in 10 rows. when I apply filter data of 1,2, 3, 6, 8,10 is visible. while 4,5,7 and 8 will be hidden. while I copy the visible cells and try to paste then only 1, 2 and cell 3 data is pasted while all other is not pasted. plz suggest any trick in the excel to resolve this issue."
@mckavelli,2023-07-11T22:11:17Z,2023-07-11T22:11:17Z,0,She’s not hard to look at.
@tamerhegab1513,2023-07-11T22:06:28Z,2023-07-11T22:06:28Z,0,Cool
@dianechapman9887,2023-07-11T14:55:25Z,2023-07-11T14:55:25Z,0,💕 Love it!
